word,pos,definition
amore,noun,love
commento,noun,comment
indagare,verb,to investigate
arrivo,noun,arrival
panchina,noun,bench
vicino,adjective,near
medico,noun,doctor
economico,adjective,economic
marzo,noun,March
senso,noun,sense
manifestazione,noun,"expression, demonstration"
immagine,noun,image
serie,noun,series
pure,adverb,also
confronto,noun,comparison
scegliere,verb,to choose
fronte,noun,forehead
segno,noun,sign
fra,preposition,between
chiusura,noun,closure
interno,noun,"inside, interior"
corsa,noun,race
americano,adjective,American
arresto,noun,arrest
classifica,noun,"rank, chart"
registrare,verb,"to record, to register"
arrestare,verb,to stop
comunicare,verb,to communicate
fase,noun,phase
cambio,noun,exchange
richiesta,noun,request
chiesa,noun,church
generale,adjective,general
facile,adjective,easy
intervenire,verb,to intervene
riguardare,verb,"review, take care of yourself"
occhio,noun,eye
regola,noun,rule
formazione,noun,"education, development"
elettorale,adjective,electoral
presto,adverb,soon
ruolo,noun,role
corpo,noun,body
cuore,noun,heart
ordine,noun,order
nero,adjective,black
atto,noun,act
dicembre,noun,December
giro,noun,"turn, stroll"
libro,noun,book
piede,noun,foot
durare,verb,to last
dettaglio,noun,detail
violenza,noun,violence
termine,noun,end
traffico,noun,traffic
studio,noun,study
bisogno,noun,need
accusa,noun,accusation
partenza,noun,departure
errore,noun,mistake
proseguire,verb,to continue
agosto,noun,August
vivere,verb,to live
voce,noun,voice
scorso,adjective,last
pagina,noun,page
sera,noun,evening
guardare,verb,to watch
contrario,noun,contrary
tema,noun,theme
febbraio,noun,February
spesso,adverb,often
Europa,proper noun,Europe
denuncia,noun,complaint
spazio,noun,space
porta,noun,door
impresa,noun,"enterprise, endeavour"
verità,noun,truth
stop,noun,stop
naturalmente,adverb,naturally
presente,adjective,present
livello,noun,level
sentenza,noun,"verdict, judgment"
colore,noun,color
iniziativa,noun,initiative
base,noun,"base, fundamentals"
civile,adjective,civil
dieci,numeral,ten
cinema,noun,cinema
regionale,adjective,regional
elezione,noun,election
riprendere,verb,"get back, resume"
salire,verb,to go up
storico,adjective,historical
sport,noun,sport
vertice,noun,"vertex, summit"
silenzio,noun,silence
viaggio,noun,voyage
ti,pronoun,you
aumento,noun,increase
campione,noun,champion
rischiare,verb,to risk
analista,noun,analyst
entrambi,pronoun,both
coppia,noun,couple
negativo,adjective,negative
aumentare,verb,to increase
giornalista,noun,journalist
inchiesta,noun,investigation
provare,verb,to try
insieme,adverb,together
sicuramente,adverb,surely
vista,noun,view
novembre,noun,November
puntare,verb,"head towards, aim for"
denunciare,verb,to report
personale,adjective,personal
sette,numeral,seven
sviluppo,noun,development
soltanto,adverb,only
pace,noun,peace
versione,noun,version
foto,noun,photo
contare,verb,to count
colpa,noun,fault
lì,adverb,there
concerto,noun,concert
chiuso,adjective,closed
premio,noun,prize
leader,noun,leader
ottimo,adjective,"very good, great"
totale,adjective,total
me,pronoun,me
rispetto,noun,respect
Milan,proper noun,Milan
riforma,noun,reform
tensione,noun,tension
purtroppo,adverb,unfortunately
gratuito,adjective,free
capire,verb,to understand
breve,adjective,short
acqua,noun,water
funzionare,verb,to work
rigore,noun,"rigor, strictness"
tuttavia,conjunction,"but, however"
cultura,noun,culture
derby,noun,derby
occasione,noun,occasion
video,noun,video
attenzione,noun,attention
record,noun,record
spesa,noun,expense
capo,noun,head
protagonista,noun,main character
giallo,noun,yellow
battaglia,noun,battle
lista,noun,list
apparire,verb,to appear
testo,noun,text
segnale,noun,signal
leggere,verb,to read
doppio,adjective,double
quotidiano,noun,daily
giudice,noun,judge
durante,preposition,during
territorio,noun,territory
passato,noun,past
tedesco,adjective,German
pagare,verb,to pay
vecchio,adjective,old
direttore,noun,director
teatro,noun,theater
agente,noun,agent
differenza,noun,difference
internazionale,adjective,international
Parma,proper noun,Parma
francese,adjective,French
speranza,noun,hope
tuo,determiner,your
messaggio,noun,message
acquisto,noun,purchase
studente,noun,student
sciopero,noun,strike
padre,noun,father
portavoce,noun,spokeperson
premier,noun,premier
terra,noun,"soil, Earth"
completo,adjective,full
nemmeno,adverb,not even
appello,noun,appeal
disposizione,noun,disposal
lira,noun,lira
allenamento,noun,training
rivelare,verb,to reveal
provvedimento,noun,measure
qualità,noun,quality
sconfitta,noun,defeat
magari,adverb,"maybe, I wish!"
Torino,proper noun,Turin
carta,noun,paper
disponibile,adjective,available
tribunale,noun,court
responsabile,noun,person in charge
succedere,verb,"to happen, to succeed"
seguito,noun,"sequel, continuation"
pericolo,noun,danger
club,noun,club
azienda,noun,company
media,noun,average
emergenza,noun,emergency
spiegare,verb,to explain
capitale,noun,capital
luogo,noun,place
sociale,adjective,social
tipo,noun,"character, type, dude"
Lazio,proper noun,Lazio
candidato,noun,candidate
numeroso,adjective,numerous
ricorso,noun,appeal
otto,numeral,eight
cifra,noun,figure
stadio,noun,stadium
campagna,noun,countryside
estero,noun,abroad
addio,noun,goodbye
risultare,verb,"result in, turn out to be"
dichiarare,verb,to declare
tenere,verb,to hold
le,pronoun,"her, them"
battere,verb,to beat
parere,verb,"seem, appear"
Palermo,proper noun,Palermo
valere,verb,to be worth
modello,noun,model
luce,noun,light
toccare,verb,to touch
struttura,noun,structure
merito,noun,merit
sportivo,adjective,sports
vantaggio,noun,"advantage, benefit"
pubblicare,verb,to publish
tragedia,noun,tragedy
evento,noun,event
visita,noun,visit
dichiarazione,noun,declaration
bianco,adjective,white
forma,noun,form
scendere,verb,"to descend, to go down"
recuperare,verb,"to retrieve, to recover"
sede,noun,branch
comunicato,noun,public notice
misura,noun,measure
effetto,noun,effect
ragazza,noun,girl
ipotesi,noun,hypothesis
difficoltà,noun,difficulty
impegno,noun,commitment
mondiale,adjective,world
lontano,adjective,distant
inutile,adjective,useless
segretario,noun,secretary
vigile,noun,traffic warden
limite,noun,limit
opposizione,noun,opposition
pesante,adjective,heavy
attualmente,adverb,currently
lunedì,noun,Monday
pista,noun,track
ricordare,verb,to remember
mostra,noun,show
genitore,noun,parent
svolgere,verb,carry out
eppure,conjunction,"and yet, but yet"
stavolta,adverb,this time
presenza,noun,presence
militare,adjective,military
Paolo,proper noun,Paul
responsabilità,noun,responsibility
turno,noun,shift
mare,noun,sea
solidarietà,noun,solidarity
completamente,adverb,completely
periodo,noun,period
fenomeno,noun,phenomenon
durata,noun,duration
fondamentale,adjective,basic
tranquillo,adjective,calm
solito,noun,usual
serio,adjective,serious
raggiungere,verb,to reach
neanche,adverb,neither
partecipazione,noun,participation
risalire,verb,"date back to, go back up"
assolutamente,adverb,absolutely
aiuto,noun,help
esperienza,noun,experience
vario,adjective,varied
giovedì,noun,Thursday
occorrere,verb,to be required
trattativa,noun,negotiation
finora,adverb,till now
fissare,verb,"set, fixate on, secure"
opera,noun,"endeavour, opera"
mattina,noun,morning
Natale,proper noun,Christmas
debole,adjective,weak
concludere,verb,to conclude
sbagliare,verb,to make a mistake
area,noun,area
terminare,verb,to end
veramente,adverb,truly
interessante,adjective,interesting
ce,pronoun,"us, to us"
perfetto,adjective,perfect
lotta,noun,struggle
finanziario,adjective,financial
dietro,adverb,behind
borsa,noun,bag
compagnia,noun,company
documento,noun,document
giunta,noun,council
centrale,adjective,central
aria,noun,air
precedente,adjective,previous
pioggia,noun,rain
affidare,verb,to entrust
critica,noun,criticism
straordinario,adjective,"extraordinary, overtime"
correre,verb,to run
passione,noun,passion
privato,adjective,private
bloccare,verb,to block
faccia,noun,face
segnare,verb,to mark
accettare,verb,to accept
esperto,noun,expert
fermo,adjective,fixed
appunto,adverb,precisely
colpire,verb,to hit
avvio,noun,start
segreto,noun,secret
ufficio,noun,office
usare,verb,to use
scoprire,verb,discover
macchina,noun,machine
destra,noun,right
decisivo,adjective,decisive
taglio,noun,cut
giustizia,noun,justice
immigrato,noun,immigrant
avversario,noun,opponent
previsione,noun,forecast
rappresentare,verb,to represent
dibattito,noun,debate
cedere,verb,to surrender
libertà,noun,freedom
ingresso,noun,entrance
produzione,noun,production
praticamente,adverb,practically
clima,noun,climate
sicuro,adjective,safe
migliorare,verb,to improve
sud,noun,south
metà,noun,half
difendere,verb,"to defend, to stick up for"
caldo,adjective,hot
cura,noun,cure
lanciare,verb,to launch
vostro,determiner,your
guadagnare,verb,to earn
falso,adjective,false
prodotto,noun,product
manovra,noun,"maneuvre, ploy"
speciale,adjective,special
offerta,noun,offer
giornale,noun,newspaper
cambiamento,noun,a change
rivoluzione,noun,revolution
parlamento,noun,parliament
caccia,noun,hunting
attività,noun,activity
replica,noun,reply
discussione,noun,discussion
emozione,noun,emotion
superare,verb,to exceed
soccorso,noun,rescue
necessario,adjective,necessary
svolta,noun,"turn, turning point"
repubblica,noun,republic
lavoratore,noun,worker
pericoloso,adjective,dangerous
probabilmente,adverb,probably
pareggio,noun,tie
impossibile,adjective,impossible
autorità,noun,authority
sostenere,verb,"support, maintain"
esterno,adjective,external
realizzare,verb,to achieve
data,noun,date
piuttosto,adverb,rather
televisione,noun,television
biglietto,noun,ticket
spagnolo,adjective,Spanish
ricevere,verb,to receive
capoluogo,noun,capital
ricordo,noun,memory
soddisfazione,noun,satisfaction
apertura,noun,opening
appena,adverb,"just, barely"
movimento,noun,movement
esame,noun,examination
riunione,noun,meeting
utile,adjective,useful
seduta,noun,sitting
accusare,verb,to accuse
altrimenti,adverb,otherwise
fuga,noun,escape
rifiuto,noun,rejection
fiamma,noun,flame
velocità,noun,speed
salute,noun,health
percorso,noun,path
match,noun,match
madre,noun,mother
volo,noun,flight
disagio,noun,discomfort
treno,noun,train
ritardo,noun,delay
raccontare,verb,to tell
fortuna,noun,luck
inglese,adjective,English
conseguenza,noun,consequence
ambiente,noun,environment
voi,pronoun,you
terremoto,noun,earthquake
lettera,noun,letter
porre,verb,"put, set, pay"
difensore,noun,defender
strategia,noun,strategy
sangue,noun,blood
carriera,noun,career
ritiro,noun,withdrawal
grosso,adjective,big
costare,verb,to cost
umano,adjective,human
conferma,noun,confirmation
conclusione,noun,conclusion
votare,verb,to vote
firma,noun,signature
sala,noun,room
finalmente,adverb,at last
creare,verb,to create
trasporto,noun,transport
considerare,verb,to consider
possibilità,noun,possibility
salvare,verb,to save
decisamente,adverb,decidedly
venerdì,noun,Friday
dimenticare,verb,to forget
vacanza,noun,vacation
centrosinistra,noun,center left
ottenere,verb,to obtain
partecipare,verb,to participate in
assoluto,adjective,absolute
investimento,noun,investment
vivo,adjective,live
direzione,noun,direction
arte,noun,art
tale,determiner,such
oro,noun,gold
camera,noun,room
relazione,noun,"relationship, link"
abbastanza,adverb,enough
zero,numeral,zero
stile,noun,style
preoccupazione,noun,worry
personaggio,noun,character
bravo,adjective,good at something
incredibile,adjective,incredible
quota,noun,amount
definitivo,adjective,"final, definitive"
mercoledì,noun,Wednesday
basso,adjective,low
categoria,noun,category
dolore,noun,ache
capitolo,noun,chapter
popolo,noun,people
effettuare,verb,to make
immediato,adjective,immediate
ulteriore,adjective,further
lezione,noun,lesson
furto,noun,theft
meritare,verb,to deserve
brutto,adjective,ugly
preparare,verb,to prepare
dipendere,verb,to depend
minimo,adjective,least
firmare,verb,to sign
strano,adjective,strange
interesse,noun,interest
peggio,noun,the worst part
nessun,determiner,"no, none"
neve,noun,snow
qualcuno,pronoun,someone
netto,adjective,net
felice,adjective,happy
miracolo,noun,miracle
democrazia,noun,democracy
ribasso,noun,depreciation
progresso,noun,progress
turismo,noun,tourism
rientrare,verb,"return, go/come back"
magistrato,noun,magistrate
contento,adjective,pleased
chilometro,noun,kilometer
guida,noun,guide
terreno,noun,ground
sereno,adjective,serene
reale,adjective,real
agenzia,noun,agency
contenuto,noun,content
guardia,noun,guard
passaggio,noun,passage
familiare,noun,relative
complesso,adjective,complex
memoria,noun,memory
offrire,verb,to offer
corte,noun,court
attaccante,noun,striker
prestazione,noun,performance
traccia,noun,trace
ospite,noun,guest
freddo,adjective,cold
dimissione,noun,discharge
moglie,noun,wife
affare,noun,"business, matter"
quadro,noun,"painting, picture"
interessare,verb,to interest
dialogo,noun,dialogue
gli,pronoun,"him, them"
approvare,verb,to approve
articolo,noun,article
ritrovare,verb,to find
estate,noun,summer
stazione,noun,station
attore,noun,actor
promozione,noun,promotion
palla,noun,ball
cliente,noun,customer
fratello,noun,brother
normale,adjective,normal
test,noun,test
sanità,noun,healthcare
parco,noun,park
popolazione,noun,population
dividere,verb,to divide
cinese,adjective,Chinese
angolo,noun,angle
porto,noun,port
segnalare,verb,"signal, point out"
presentazione,noun,presentation
straniero,adjective,foreign
mistero,noun,mystery
Firenze,proper noun,Florence
concorso,noun,"competitive exam, contest"
russo,adjective,Russian
vuoto,adjective,empty
genere,noun,"genre, gender"
giungere,verb,to come
ascoltare,verb,to listen
nord,noun,north
aspetto,noun,look
gestione,noun,management
pezzo,noun,piece
contatto,noun,contact
destino,noun,destiny
autore,noun,author
incontrare,verb,"to encounter, to meet"
dedicare,verb,to dedicate
decreto,noun,decree
attuale,adjective,current
regia,noun,direction
web,noun,web
pensione,noun,pension
scudetto,noun,championship
associazione,noun,association
riferimento,noun,reference
stasera,adverb,this evening
portiere,noun,doorman
palazzo,noun,building
gesto,noun,gesture
successivo,adjective,following
escludere,verb,to exclude
aiutare,verb,to help
amministrazione,noun,administration
critico,adjective,critical
tappa,noun,stage
smentire,verb,to deny
pensiero,noun,thought
concreto,adjective,concrete
mantenere,verb,to keep
organizzare,verb,to organize
prospettiva,noun,perspective
ripartire,verb,"to leave again, recover"
pilota,noun,pilot
ammontare,verb,amount to
superiore,adjective,superior
comunicazione,noun,communication
sequestrare,verb,"to confiscate, to seize"
salvezza,noun,salvation
neppure,adverb,"either, not even"
tassa,noun,tax
anziano,noun,an elderly
scenario,noun,"scenario, scenery"
democratico,adjective,democratic
quartiere,noun,district
né,conjunction,neither...nor
economia,noun,economy
ricco,adjective,rich
fiscale,adjective,financial
vincente,adjective,winning
centrocampo,noun,midfield
risorsa,noun,resource
cadere,verb,to fall
utilizzare,verb,to use
compagno,noun,companion
provinciale,adjective,provincial
moda,noun,fashion
scambio,noun,exchange
verde,adjective,green
Brasile,proper noun,Brazil
canzone,noun,song
rosa,noun,rose
Mario,proper noun,Mario
accertamento,noun,verification
quinto,adjective,fifth
mamma,noun,mom
signore,noun,"mister, sir"
chiarire,verb,to clarify
cielo,noun,sky
classico,adjective,classic
incendio,noun,fire
parlamentare,adjective,parliamentary
diretto,adjective,direct
intorno,adverb,around
evitare,verb,to avoid
industriale,adjective,industrial
amare,verb,to love
definire,verb,to define
dentro,adverb,inside
consumatore,noun,consumer
legale,adjective,"legal, lawful"
flessione,noun,"push-up, curve"
intero,adjective,entire
decina,noun,dozens
muro,noun,wall
stella,noun,a star
vendere,verb,to sell
convegno,noun,meeting
rispettare,verb,to respect
